IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
JSB86-8	-0.00857889091473085	0.023689362875302926	0.0033244954321517443	-0.016471781839409	0.012592407717756559	-0.003646817693787809	-0.008755810963027105	-8.605866812298024e-4	-0.00115921348830084	0.0030223554509337816
JSB90-1	-0.010027917189110119	-1.4824291884797533e-4	0.037449561718972554	0.029107478776780285	-8.474291643935959e-5	-0.002231484117768309	0.0021703861631517988	-0.0020179555434060555	0.0066487347048648235	-0.01239529653194631
JSB90-2	-0.009201002426048637	0.02006821023602349	0.010968379776738308	-0.008480321472079626	0.008325644122032435	-0.0021695161105253886	-0.002800657946901132	-9.519588099278713e-4	-0.003079501073981045	-0.003932802592295558
JSB90-3	-0.009269928816195334	0.023553163617979142	0.004504673914453821	-0.016056005039911232	0.014115699093408896	-0.0013546185811457588	-0.0071083023222199134	-0.002136533029339751	-0.003749143439903695	-0.0010074337235915277
JSB90-4	-0.008365708036982712	0.022520746653467583	0.0011783502494212158	-0.015238619702650065	-0.005519245580538731	0.003620579240743651	0.003395166279715617	0.0017668159750780174	-0.00112613973956124	0.002229491196653108
JSB90-5	-0.008454811874255426	0.02356665057372529	0.0037408533153423617	-0.01695219432370551	0.006378225127202348	-9.478571030912774e-4	-0.003492509745611976	-4.061238871898238e-5	0.0012737064405415302	0.0034249574228363247
JSB90-6	-0.008773684768114678	0.003902859052963089	0.030596347066792675	0.0187546289926306	-0.004557849347445003	7.606785620646113e-4	0.0064876468071054655	-9.37822132410048e-5	0.003643828339336171	-0.007442690370890812
JSB90-7	-0.008504094459551779	0.019009389231389187	-0.0029747515279863815	-0.010656401988062817	-0.01365778669767381	0.0062560382866708045	0.013761843932631721	-0.001051642797307252	-0.005700420475239939	-0.0028340997965765
JSB90-8	-0.008961440312565343	0.024067757464687842	0.0027206140284057757	-0.01707570866874603	0.007751834098936798	-6.008184959376274e-4	-0.005879592571321997	-8.751087069902453e-4	-0.0040829541623225015	-0.0010200918567165697
JSB91-1	-0.008705003564959504	0.024229790890764817	0.003050503389130696	-0.016357389013796415	0.01035477300475749	-0.0013273328341810928	-0.0066471937395644175	0.003010541721465308	0.0018593311050235735	8.126089637454928e-4
JSB91-10	-0.008753492898224455	0.023453246171183727	0.0045260087685392685	-0.015288675909674657	0.0061215285964011735	1.1755780749317551e-4	-0.006901543100333498	-5.355197105817517e-4	-5.547141383713367e-4	-4.408019354947819e-5
JSB91-3	-0.00873731055678386	0.02272817983198582	0.004062517269246032	-0.016530062367229266	0.0053357875583114256	-0.002471398583111846	-0.004915811965938811	-0.0013380274365025447	-2.61600461684499e-4	-0.0011771665751788315
JSB91-5	-0.010880865041565782	-0.003011656213827412	0.002809875775614044	-0.01252579010491998	0.017937069618297333	-0.009638283353790257	0.017548462247936384	-7.53902391353931e-4	-9.067992489685576e-4	-0.002108205196488921
JSB91-6	-0.008278695500520055	0.023897175968067532	0.0019606041624625017	-0.01575357433428842	-0.0061112713587367085	0.005439953200792027	0.0025160900759522895	0.0040432864463518636	-0.004639293408240918	8.334694320382769e-5
JSB91-7	-0.014089656045170651	-0.031280429432029834	0.0016546065560280382	-0.013593830310067544	0.003972051177829023	-0.002419071290440745	0.012589754922595793	0.0014437409232389976	-0.0022787738741284302	-2.0561565549465574e-4
JSB91-8	-0.008313656280958558	0.02433179786591527	0.002837433842521954	-0.015847144674977404	0.0059746211416014435	-0.003017674572719726	-0.007515132830635672	-0.0015020577195998315	0.0010405423714026849	3.489792057434286e-4
JSB91-9	-0.009461333319990448	0.0019635487909407607	0.03538861481431833	0.02345482832735946	-0.0073293915973753525	0.002760825738715117	-7.789272056620947e-4	9.856030275616913e-4	0.007813550569072998	-0.015505308408856536
JSB95-1	-0.008739892231576969	0.023928328936269904	0.004275242175904163	-0.016871969812671327	0.004889551928667585	-7.922058494073352e-5	-0.00843485618954233	0.005229907470969349	-0.0013073326540984597	6.023734635901823e-4
JSB95-3	-0.0087757039551037	0.024144310185331478	0.003014828230814584	-0.0160620985139553	0.013631868856075204	3.994865256423806e-4	-0.008229570580531202	-7.682277408599806e-5	-0.006486188075818117	-1.0866622501831169e-4
JSB95-4	-0.008413750264557237	0.02419369903735963	0.004613120618912773	-0.01621955687391615	0.00735266270532661	0.00191403249895287	-0.006497962097232474	-0.0015369906240865663	-0.0050718303110032555	0.0025545449144476888
JSB95-5	-0.009123133922093409	0.023965940446660575	0.004647125094039731	-0.01873818035103925	0.006377620682839978	-8.282093831763737e-4	-0.005380283408745601	6.973316684841361e-4	-8.157202818432542e-4	7.961994685069686e-4
JSB95-6	-0.008850788865566917	0.023226627323223784	0.004790134262117108	-0.013919737713234381	0.009448839121035196	-5.04495507766611e-4	-0.006804643607547001	-8.040994314214652e-4	-0.001493867257681156	-0.0011539696475890008
JSB95-7	-0.009059125694541401	0.024192179380374147	0.004906392805456577	-0.017253129698274566	0.008691717607678891	-0.0015218770307540465	-0.006496752978975829	0.0029810059793084383	4.93336732139597e-4	-0.0035372811656039934
JSB95-8	-0.008767497402269744	0.023906103952857236	0.0029898959921018054	-0.015883294303202036	0.009006504905003019	-0.0021523199183841888	-0.007826971986013703	0.0013705133224753152	-0.00458590043401201	6.552326888432404e-4
JSB99-1	-0.009016910263706625	0.0035792101064801483	-0.028666888509009683	0.023290304528169593	0.0014249043183046952	0.003244834494245646	0.0018555997820231937	-0.002693561346579293	-3.9186377325622717e-4	4.0492033781318993e-4
JSB99-2	-0.007961740834300375	0.02389603622532842	0.004868154182364967	-0.016375781585757653	0.0100873521656482	4.4095936489450094e-4	-0.01051177184371359	-0.004160411729709515	9.086706936419784e-4	0.003241032118957307
JSB99-3	-0.009188122897611516	0.023654220807513664	0.0037399670983265048	-0.017283447535389535	0.009157643470339342	-0.004461565609750223	-0.00733867713505644	0.002410896404218545	-3.52022928409989e-4	0.002750725472047921
JSB99-4	-0.008995478036094576	0.02261268590108922	0.0069413440109789976	-0.012524033090931815	0.0034700509766325636	0.002667523071404137	-0.003720079026243629	-0.0011971866559581546	3.4343819913811144e-4	-0.001437254179767615
JSB99-5	-0.008673749434922278	0.024235679561583557	0.004435877215741363	-0.016452791135026255	0.008080486983603785	-0.0018135951418084292	-0.004842537510338804	-7.955348666225897e-4	-0.0022869651814849366	0.0016586689802662539
JSB99-6	-0.009007391239329808	0.0052136011943655965	-0.02628759275854814	0.022334152469119566	3.297820966348684e-4	0.0014087786381777486	-0.0013937355004572949	0.0018922199565857166	-0.005840736972351252	-0.006681947908597929
JSB99-7	-0.008993386735284516	0.015365878638710851	0.014796673170978564	3.8879355063268145e-4	-0.012652211076639561	0.0035449216058255177	0.007745564320890479	3.640511772819704e-4	-0.0026252004056875507	-0.002860914195220457
JSB99-8	-0.008988281076755133	0.02462281217863499	0.004140766949460965	-0.016984792540677463	0.01290003326521139	0.001320553476213518	-0.010919376943512513	0.0048911440574426705	-0.003554214241044695	9.931918160436554e-4
